,album_group,album_type,artists,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,external_urls.spotify
0,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/7vMWh9urOORyyFjwV4Drs4,7vMWh9urOORyyFjwV4Drs4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273156f9ab02be895a9be3de100', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02156f9ab02be895a9be3de100', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851156f9ab02be895a9be3de100', 'width': 64}]",Arijit Singh - India Tour Hits,11/30/22,day,23,album,spotify:album:7vMWh9urOORyyFjwV4Drs4,https://open.spotify.com/album/7vMWh9urOORyyFjwV4Drs4
1,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6Mv8GjQa7LKUGCAqa9qqdb'}, 'href': 'https://api.spotify.com/v1/artists/6Mv8GjQa7LKUGCAqa9qqdb', 'id': '6Mv8GjQa7LKUGCAqa9qqdb', 'name': 'Vishal-Shekhar', 'type': 'artist', 'uri': 'spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5kPOMQZvgkAEnRZqwn9SYQ'}, 'href': 'https://api.spotify.com/v1/artists/5kPOMQZvgkAEnRZqwn9SYQ', 'id': '5kPOMQZvgkAEnRZqwn9SYQ', 'name': 'Jaideep Sahni', 'type': 'artist', 'uri': 'spotify:artist:5kPOMQZvgkAEnRZqwn9SYQ'}]",https://api.spotify.com/v1/albums/6oE20B7dnXUthc6pOorJJC,6oE20B7dnXUthc6pOorJJC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273825ae4fbebb64fd9f4fd7de1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02825ae4fbebb64fd9f4fd7de1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851825ae4fbebb64fd9f4fd7de1', 'width': 64}]",YRF Top 10 - Nightout Sounds,5/4/21,day,10,album,spotify:album:6oE20B7dnXUthc6pOorJJC,https://open.spotify.com/album/6oE20B7dnXUthc6pOorJJC
2,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6Mv8GjQa7LKUGCAqa9qqdb'}, 'href': 'https://api.spotify.com/v1/artists/6Mv8GjQa7LKUGCAqa9qqdb', 'id': '6Mv8GjQa7LKUGCAqa9qqdb', 'name': 'Vishal-Shekhar', 'type': 'artist', 'uri': 'spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5kPOMQZvgkAEnRZqwn9SYQ'}, 'href': 'https://api.spotify.com/v1/artists/5kPOMQZvgkAEnRZqwn9SYQ', 'id': '5kPOMQZvgkAEnRZqwn9SYQ', 'name': 'Jaideep Sahni', 'type': 'artist', 'uri': 'spotify:artist:5kPOMQZvgkAEnRZqwn9SYQ'}]",https://api.spotify.com/v1/albums/6HYp2yulQUYrEb1RvLfMj8,6HYp2yulQUYrEb1RvLfMj8,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731a5f80d27902da01c55df429', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021a5f80d27902da01c55df429', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511a5f80d27902da01c55df429', 'width': 64}]",YRF Top 10 - Bollywood Remixed,3/31/21,day,10,album,spotify:album:6HYp2yulQUYrEb1RvLfMj8,https://open.spotify.com/album/6HYp2yulQUYrEb1RvLfMj8
3,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/3k1WMGUrn1raJVWoGrNPww,3k1WMGUrn1raJVWoGrNPww,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736bc416626908ac75605a829e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026bc416626908ac75605a829e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516bc416626908ac75605a829e', 'width': 64}]",Pagglait (Original Motion Picture Soundtrack),3/15/21,day,24,album,spotify:album:3k1WMGUrn1raJVWoGrNPww,https://open.spotify.com/album/3k1WMGUrn1raJVWoGrNPww
4,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mBydYMVBECdDmMfE2sEUO'}, 'href': 'https://api.spotify.com/v1/artists/1mBydYMVBECdDmMfE2sEUO', 'id': '1mBydYMVBECdDmMfE2sEUO', 'name': 'Sachin-Jigar', 'type': 'artist', 'uri': 'spotify:artist:1mBydYMVBECdDmMfE2sEUO'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6q29t5RuXxlBuqIZsOMQss'}, 'href': 'https://api.spotify.com/v1/artists/6q29t5RuXxlBuqIZsOMQss', 'id': '6q29t5RuXxlBuqIZsOMQss', 'name': 'Priya Saraiya', 'type': 'artist', 'uri': 'spotify:artist:6q29t5RuXxlBuqIZsOMQss'}]",https://api.spotify.com/v1/albums/2mgAQPRBawMyJ1N6jGWWPF,2mgAQPRBawMyJ1N6jGWWPF,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f2607ce870ebc75e030e0224', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f2607ce870ebc75e030e0224', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f2607ce870ebc75e030e0224', 'width': 64}]",YRF Top 10 - Midnight Hour,2/17/21,day,10,album,spotify:album:2mgAQPRBawMyJ1N6jGWWPF,https://open.spotify.com/album/2mgAQPRBawMyJ1N6jGWWPF
5,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/1WwkojG9sjMSrFVz4D51W0,1WwkojG9sjMSrFVz4D51W0,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731aa5adad8593923dcdf1a7d0', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021aa5adad8593923dcdf1a7d0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511aa5adad8593923dcdf1a7d0', 'width': 64}]",Ultimate Love Songs - Arijit Singh,5/19/20,day,10,album,spotify:album:1WwkojG9sjMSrFVz4D51W0,https://open.spotify.com/album/1WwkojG9sjMSrFVz4D51W0
6,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/2b1jRXut0UQBfL5VLfsjFG,2b1jRXut0UQBfL5VLfsjFG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a87e244ccc62afeae7e96986', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a87e244ccc62afeae7e96986', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a87e244ccc62afeae7e96986', 'width': 64}]","Acche Din, Acche Gaane",5/29/19,day,12,album,spotify:album:2b1jRXut0UQBfL5VLfsjFG,https://open.spotify.com/album/2b1jRXut0UQBfL5VLfsjFG
7,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/7kSY0fqrPep5vcwOb1juye,7kSY0fqrPep5vcwOb1juye,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273614a583a490e23b29821b2ed', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02614a583a490e23b29821b2ed', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851614a583a490e23b29821b2ed', 'width': 64}]",Groove With Arijit Singh,5/22/19,day,14,album,spotify:album:7kSY0fqrPep5vcwOb1juye,https://open.spotify.com/album/7kSY0fqrPep5vcwOb1juye
8,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1XBPmUB1Z72YL4OgDhNbJw'}, 'href': 'https://api.spotify.com/v1/artists/1XBPmUB1Z72YL4OgDhNbJw', 'id': '1XBPmUB1Z72YL4OgDhNbJw', 'name': 'Promit', 'type': 'artist', 'uri': 'spotify:artist:1XBPmUB1Z72YL4OgDhNbJw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/7ByzvLaUbfQycIrJvbGudU,7ByzvLaUbfQycIrJvbGudU,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e1fea08726466713e2894cc7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e1fea08726466713e2894cc7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e1fea08726466713e2894cc7', 'width': 64}]",Chokher Bahire (Original Motion Picture Soundtrack),10/27/17,day,6,album,spotify:album:7ByzvLaUbfQycIrJvbGudU,https://open.spotify.com/album/7ByzvLaUbfQycIrJvbGudU
9,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/0HSS4XZTx9QoCVxtugU2vk,0HSS4XZTx9QoCVxtugU2vk,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e24cb6083f2b8dede520fa8c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e24cb6083f2b8dede520fa8c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e24cb6083f2b8dede520fa8c', 'width': 64}]",Murshida and Other Hits,5/10/17,day,10,album,spotify:album:0HSS4XZTx9QoCVxtugU2vk,https://open.spotify.com/album/0HSS4XZTx9QoCVxtugU2vk
