,Id,Name,Link,Release_date,Album
0,7vMWh9urOORyyFjwV4Drs4,Arijit Singh - India Tour Hits,{'spotify': 'https://open.spotify.com/album/7vMWh9urOORyyFjwV4Drs4'},2022-11-30,album
1,6oE20B7dnXUthc6pOorJJC,YRF Top 10 - Nightout Sounds,{'spotify': 'https://open.spotify.com/album/6oE20B7dnXUthc6pOorJJC'},2021-05-04,album
2,6HYp2yulQUYrEb1RvLfMj8,YRF Top 10 - Bollywood Remixed,{'spotify': 'https://open.spotify.com/album/6HYp2yulQUYrEb1RvLfMj8'},2021-03-31,album
3,3k1WMGUrn1raJVWoGrNPww,Pagglait (Original Motion Picture Soundtrack),{'spotify': 'https://open.spotify.com/album/3k1WMGUrn1raJVWoGrNPww'},2021-03-15,album
4,2mgAQPRBawMyJ1N6jGWWPF,YRF Top 10 - Midnight Hour,{'spotify': 'https://open.spotify.com/album/2mgAQPRBawMyJ1N6jGWWPF'},2021-02-17,album
5,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,{'spotify': 'https://open.spotify.com/album/1WwkojG9sjMSrFVz4D51W0'},2020-05-19,album
6,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",{'spotify': 'https://open.spotify.com/album/2b1jRXut0UQBfL5VLfsjFG'},2019-05-29,album
7,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,{'spotify': 'https://open.spotify.com/album/7kSY0fqrPep5vcwOb1juye'},2019-05-22,album
8,7ByzvLaUbfQycIrJvbGudU,Chokher Bahire (Original Motion Picture Soundtrack),{'spotify': 'https://open.spotify.com/album/7ByzvLaUbfQycIrJvbGudU'},2017-10-27,album
9,0HSS4XZTx9QoCVxtugU2vk,Murshida and Other Hits,{'spotify': 'https://open.spotify.com/album/0HSS4XZTx9QoCVxtugU2vk'},2017-05-10,album
10,3tzrtZvTODgW7tDew5E7nb,Yours Truly Arijit,{'spotify': 'https://open.spotify.com/album/3tzrtZvTODgW7tDew5E7nb'},2016-12-09,album
11,252YtNVYFu7GlS6DQ3HUZ1,Arijit Singh - Ultimate Love Songs,{'spotify': 'https://open.spotify.com/album/252YtNVYFu7GlS6DQ3HUZ1'},2016-02-05,album
12,2GICr5p81pM3Z0T9BJFb1o,Shudhu Tomari Jonyo,{'spotify': 'https://open.spotify.com/album/2GICr5p81pM3Z0T9BJFb1o'},2015-09-13,album
13,0RwZL6Vt80dGICYl7TbUxP,Khaad,{'spotify': 'https://open.spotify.com/album/0RwZL6Vt80dGICYl7TbUxP'},2014-10-23,album
14,2in4xZhjkZ8Kt2cifZ9z1o,Golpo Holeo Sotti,{'spotify': 'https://open.spotify.com/album/2in4xZhjkZ8Kt2cifZ9z1o'},2014-06-10,album
15,3vDKxt5LedHOk5FDJHgJmA,Chander Pahar,{'spotify': 'https://open.spotify.com/album/3vDKxt5LedHOk5FDJHgJmA'},2013-12-26,album
16,5qOJ4NgkZAljQyrdldTkbh,Goynar Baksho (Original Motion Picture Soundtrack),{'spotify': 'https://open.spotify.com/album/5qOJ4NgkZAljQyrdldTkbh'},2013-04-12,album
17,1pbdCW1f3bVwqRd2toq4kC,Bojhena Se Bojhena,{'spotify': 'https://open.spotify.com/album/1pbdCW1f3bVwqRd2toq4kC'},2012-12-12,album
18,2OGNSBiHyvVCkkbR1q3ton,Yedisthe Rarevaru - Future Bass Remix,{'spotify': 'https://open.spotify.com/album/2OGNSBiHyvVCkkbR1q3ton'},2023-03-08,album
19,7kXEDaT5yy8IUT7Fmqs1i2,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",{'spotify': 'https://open.spotify.com/album/7kXEDaT5yy8IUT7Fmqs1i2'},2023-03-04,album
20,4zVaVvHQoqBIAetmDpInoL,Deva Deva - The Unheard Version,{'spotify': 'https://open.spotify.com/album/4zVaVvHQoqBIAetmDpInoL'},2023-03-03,album
21,5NCJ7f8YdojKzfjJQbFgBs,"Tera Hua (From ""Bad Boy"")",{'spotify': 'https://open.spotify.com/album/5NCJ7f8YdojKzfjJQbFgBs'},2023-02-26,album
22,3Glv5TxfoB9Qp67nwPH4ka,Dil Ke Paas - Close To Your Heart,{'spotify': 'https://open.spotify.com/album/3Glv5TxfoB9Qp67nwPH4ka'},2023-02-14,album
23,1yqwgFq9DO6NqFlyE7CGQe,Gham Khushiyan,{'spotify': 'https://open.spotify.com/album/1yqwgFq9DO6NqFlyE7CGQe'},2023-02-13,album
24,1cttjZoENYipDCPgISthpY,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",{'spotify': 'https://open.spotify.com/album/1cttjZoENYipDCPgISthpY'},2023-02-10,album
25,5uAi4ZZc7zRdd6PsKNcJXO,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",{'spotify': 'https://open.spotify.com/album/5uAi4ZZc7zRdd6PsKNcJXO'},2023-02-01,album
26,4ZRWac4XgoJF3bITMy3GHA,"Chedkhaniyan (From ""Shehzada"")",{'spotify': 'https://open.spotify.com/album/4ZRWac4XgoJF3bITMy3GHA'},2023-01-24,album
27,5rgmvCeAM6kTGqZBdDLg0V,Bhalolaage Tomake - Lofi,{'spotify': 'https://open.spotify.com/album/5rgmvCeAM6kTGqZBdDLg0V'},2023-01-23,album
28,6GrRNzm3K4bY2RMVHB3IwB,Sun Bhi Le - Lofi Mix,{'spotify': 'https://open.spotify.com/album/6GrRNzm3K4bY2RMVHB3IwB'},2023-01-20,album
29,1DEJU0TmqW4eRN6ZwbgSFi,Bojhabo Ki kore - Lofi,{'spotify': 'https://open.spotify.com/album/1DEJU0TmqW4eRN6ZwbgSFi'},2023-01-13,album
30,5bwrDwmzMCytTxszVUswqx,Dj Tarunn Lofi Mashup,{'spotify': 'https://open.spotify.com/album/5bwrDwmzMCytTxszVUswqx'},2023-01-13,album
31,5ogel8Etb96MZG3QodZyUL,Eto Kiser Tara,{'spotify': 'https://open.spotify.com/album/5ogel8Etb96MZG3QodZyUL'},2023-01-13,album
32,2DjMuo6Tz2BfmvgA2p63a3,Kesariya (Lost Frequencies Remix),{'spotify': 'https://open.spotify.com/album/2DjMuo6Tz2BfmvgA2p63a3'},2023-01-13,album
33,70PlWnT4tPA2WvfSAt3iWx,Bekhayali Remix,{'spotify': 'https://open.spotify.com/album/70PlWnT4tPA2WvfSAt3iWx'},2022-12-27,album
34,0ymQ2lAry40VGrgC5mV9Uy,"Mon Re Krishikaj Janona (From ""Manobjomin"")",{'spotify': 'https://open.spotify.com/album/0ymQ2lAry40VGrgC5mV9Uy'},2022-12-14,album
